tweet_id,term
99,don
99,understand
99,best
99,pictur
99,isn
99,made
99,best
99,director
99,oscar
100,drleeamerica
100,oscar
100,winnerisdjt
100,trumpwinsusa
100,put
100,americafirst
100,help
100,stop
100,hemorrhag
100,tax
100,dollar
100,praydjt
100,maga
101,karmajonez
101,now
101,look
101,babi
101,oscar
102,koranisburn
102,can
102,decid
102,hate
102,oscar
103,celiacernada
103,segon
103,comunicat
103,de
103,disculpa
103,de
103,pwc
103,per
103,pifiada
103,del
103,sobr
103,al
103,oscar
103,assumeixen
103,tot
103,error
104,girlpost
104,jimmi
104,kimmel
104,lift
104,sunni
104,pawar
104,lion
104,king
104,circl
104,life
104,favorit
104,moment
104,oscar
104,far
105,neontast
105,bestpictur
105,oscar
106,revolutionsyria
106,oscar
106,whitehelmet
106,syria
107,seriesupdatesfr
107,taraji
107,henson
107,aux
107,oscar
108,britishvogu
108,lilycollin
108,brielarson
108,oscar
108,pai
108,look
108,saorial
108,feast
109,zoomtv
109,pictureperfect
109,priyankachopra
109,dev
109,patel
109,pose
109,pictur
109,togeth
109,oscar
110,majorgroup
110,moonlight
110,lalaland
110,oscar
110,oscar
111,como
111,feita
111,estatueta
111,do
111,oscar
112,khaleesi_ren
112,dev
112,patel
112,reaction
112,sunni
112,pawar
112,never
112,see
112,anyth
112,pure
112,oscar
113,acgui
113,hollywood
113,legend
113,blacklist
113,suppo
113,trump
113,retweet
113,suppo
113,jon
113,voight
113,oscar
113,maga
114,siafurlersourc
114,throwback
114,sia
114,elton
114,john
114,oscar
114,pai
115,remot
115,nayd
115,hai
115,rl
115,sabahlar
115,dostlar
115,herseycem
115,meyrayayard
115,medelim
115,liderb
115,ikta
115,oscar
115,denizgezmi
115,necmettinerbakan
116,allur_magazin
116,nicol
116,kidman
116,sparkl
116,custom
116,armani
116,priv
116,gown
116,oscar
117,iamsteveharvei
117,call
117,warren
117,beatti
117,can
117,help
117,get
117,oscar
118,playground
118,el
118,oscar
118,al
118,mayor
118,rid
118,culo
118,es
118,para
118,oscar
118,oscar
119,gossipgun
119,adel
119,ig
119,emma
119,stone
119,oscar
120,noticiassmil
120,milei
120,liam
120,hace
120,os
120,en
120,la
120,fiesta
120,de
120,lo
120,oscar
121,congrat
121,winner
121,oscar
122,mashabl
122,dev
122,patel
122,mom
122,win
122,oscar
122,best
122,red
122,carpet
122,duo
122,oscar
123,gossipgun
123,oscar
123,pricewaterhousecoop
124,jimmykimmel
124,jimmi
124,reveal
124,realli
124,happen
124,behind
124,scene
124,oscar
124,plu
124,oscar
124,winner
124,mahershala
124,ali
124,tonight
124,moonli
125,barkbox
125,get
125,snub
125,achiev
125,sound
125,mix
125,just
125,gotta
125,keep
125,go
125,try
125,next
125,year
125,oscar
126,daisysquak
126,auli
126,cravalho
126,perform
126,far
126,ll
126,go
126,oscar
127,jimmykimmel
127,insid
127,stori
127,happen
127,craziest
127,oscar
127,ever
127,last
127,night
127,theacademi
127,abcnetwork
128,mintmovi
128,brie
128,larson
128,emma
128,brie
128,oscar
129,_pvrcinema
129,king
129,kong
129,pvr
129,oscar
130,kirstin_taylor
130,jeremymichael
130,oscar
131,diceprophet
131,best
131,on
131,oscar
131,lalaland
131,moonlight
131,epicfail
131,lol
131,harrypott
132,iamsteveharvei
132,good
132,morn
132,everybodi
132,went
132,sleep
132,earli
132,last
132,night
132,miss
132,oscar
133,shadesupd
133,ad
133,anoth
133,photo
133,dakota
133,oscar
134,gossipgun
134,oscar
134,casei
134,affleck
134,emma
134,stone
134,mahershala
134,ali
134,viola
134,dav
135,mrubin
135,icymi
135,oscar
135,applaud
135,iran
135,filmmak
135,asgharfarhadi
135,appar
135,unawar
135,silenc
135,imprison
135,colleagu
136,fantasticbeast
136,congrat
136,now
136,four
136,time
136,academi
136,award
136,winner
136,colleen
136,atwood
136,brought
136,magic
136,wizard
136,world
136,oscar
137,violadavi
137,oscar
137,oscar
137,blackgirl
137,blackgirlmag
138,jimmykimmel
138,insid
138,stori
138,happen
138,craziest
138,oscar
138,ever
138,last
138,night
138,theacademi
138,abcnetwork
139,vote__fav
139,kt
139,ra
139,kreacja
139,oscar
139,nina
139,dobrev
139,fav
139,haile
139,steinfeld
139,oscar
139,pyta
140,anandwrit
140,first
140,oscar
140,winner
140,muslim
140,america
140,alreadi
140,great
140,donald
141,lvnanci
141,power
141,us
141,posit
141,bulli
141,other
141,lose
141,oscar
141,merylstreep
141,unit
141,don
141,divid
141,winnerisdjt
142,jamiedornanldn
142,look
142,familiar
142,sure
142,jamiedornan
142,dakotajohnson
142,oscar
143,deepikapadukon
143,priyankachopra
143,oscar
143,pai
143,look
143,best
143,vote
144,go
144,wrong
144,chang
144,black
144,white
144,type
144,gold
144,red
144,type
144,read
144,dim
144,light
144,uxfail
144,oscar
145,mrmedina
145,jimmi
145,kimmel
145,feel
145,like
145,re
145,ignor
145,white
145,celebr
145,gari
145,chicago
145,ye
145,oscar
146,jonasconc
146,joe
146,nick
146,last
146,night
146,oscar
147,happlyunmarri
147,oscar
147,give
147,oscar
147,oscar
148,right
148,name
148,right
148,envelop
148,right
148,time
148,warren
148,fay
148,stop
148,saw
148,wrong
148,name
149,sophieciglen
149,god
149,bless
149,librarian
149,oscar
150,diva_ofici
150,voc
150,se
150,lembram
150,quando
150,dwayn
150,era
150,cantor
150,grupo
150,harmonia
150,samba
150,tapetevermelho
150,oscar
151,nadia_almobark
151,oscar
152,besid
152,award
152,show
152,typic
152,bat
152,rig
152,lesser
152,known
152,mai
152,well
152,good
152,nonetheless
152,oscar
153,khaleesi_ren
153,dev
153,patel
153,reaction
153,sunni
153,pawar
153,never
153,see
153,anyth
153,pure
153,oscar
154,unsmokabi
154,justin
154,timberlak
154,ryan
154,gosl
154,set
154,mickei
154,mous
154,club
154,th
154,academi
154,award
154,oscar
154,http
155,chairmnoomowmow
155,oscar
155,peopl
155,cloth
155,give
155,golden
155,statu
155,tell
155,equal
156,badestoutfit
156,jasmin
156,took
156,oscar
157,juliocapojr
157,latest
157,time
157,histor
157,memori
157,moonlight
157,highlight
157,miami
157,rich
157,black
157,queer
157,past
157,oscar
157,moonlightmov
157,http
158,abbygriffiin
158,jacki
158,chan
158,proud
158,ambassador
158,panda
158,protect
158,cost
158,oscar
159,famale
159,okai
159,bit
159,doingitwrong
159,oscar
159,well
159,re
159,par
159,cours
160,iamsteveharvei
160,good
160,morn
160,everybodi
160,went
160,sleep
160,earli
160,last
160,night
160,miss
160,oscar
161,oigan
161,olviden
161,la
161,trolleada
161,que
161,le
161,dieron
161,trump
161,en
161,lo
161,oscar
161,ni
161,tampoco
161,lo
161,bueno
161,agradecimiento
161,ni
161,que
161,casei
161,affleck
161,es
161,mi
161,gino
162,can
162,whomev
162,whisper
162,macbeth
162,backstag
162,oscar
162,rehears
162,yesterdai
162,just
162,come
162,forward
162,pleas
163,jimmykimmel
163,insid
163,stori
163,happen
163,craziest
163,oscar
163,ever
163,last
163,night
163,theacademi
163,abcnetwork
164,ciara
164,velvet
164,burgundi
164,vanityfair
164,oscar
164,thank
164,jovanifashion
165,bad
165,thought
165,oscar
165,scandal
165,wealth
165,room
165,solv
165,issu
165,pretend
165,care
166,thefashionc
166,kate
166,upton
166,wore
166,custom
166,thakoon
166,paillett
166,embellish
166,gown
166,vaniti
166,fair
166,oscar
166,pai
166,oscar
167,gossipgun
167,pricewaterhousecoop
167,oscar
167,warren
167,beat
168,theellenshow
168,entir
168,sure
168,best
168,pictur
168,winner
168,oscar
169,gma
169,watch
169,moment
169,crew
169,cast
169,la
169,la
169,land
169,realiz
169,mistak
169,made
169,moonlight
169,actual
169,won
169,best
169,pictur
169,oscar
170,allur_magazin
170,robesemma
170,channel
170,old
170,hollywood
170,oscar
170,eco
170,consciou
170,armani
170,priv
170,gown
171,oscar
171,fraud
171,predict
171,thehuffingtonpost
171,live
171,lie
171,sick
172,andytelasai
172,presid
172,pop
172,justin
172,timberlak
172,turn
172,oscar
172,open
172,number
172,gigant
172,danc
172,pai
173,haileesteinfeld
173,night
173,rememb
173,oscar
174,rameshlau
174,stun
174,deepikapadukon
174,vanityfairpai
174,oscar
175,oscar
176,rayliotta
176,just
176,heard
176,happen
176,last
176,night
176,oscar
177,manublackvip
177,envelop
177,truth
177,oscar
178,kingiadygaga
178,black
178,woman
178,legendari
178,actress
178,academi
178,award
178,winner
178,viola
178,davi
178,oscar
179,giphi
179,bff
179,bring
179,junk
179,food
179,oscar
180,hestruecoior
180,name
180,icon
180,duo
180,ll
180,wait
180,oscar
181,oneperfectshot
181,birdman
181,director
181,photographi
181,emmanuel
181,lubezki
181,director
181,alejandro
181,gonz
181,lez
181,rritu
181,oscar
182,gma
182,oh
182,just
182,captain
182,marvel
182,hang
182,nick
182,furi
182,oscar
182,aveng
182,marvel
183,lanaparrilla
183,evil
183,queen
183,oscar
183,moment
183,onceuponatim
184,jonasconc
184,joe
184,nick
184,last
184,night
184,oscar
185,vigneshshivn
185,dai
185,oscar
185,iraivan
185,enakku
185,thandha
185,oscar
185,dheiveegaenergi
185,onceinalifetim
185,moment
185,demigod
185,superst
186,netaliepoman
186,viola
186,davi
186,win
186,world
186,edit
186,oscar
187,sophieciglen
